job_id,job_title,company,location,skills,description,experience,education
J001,Data Analyst,Tech Solutions,Delhi,"Python; SQL; Excel; Power BI","Analyze business data, create reports and dashboards, and communicate insights.",0-2 years,Bachelor's degree in Computer Science IT or related field
J002,Python Developer,CodeWorks,Noida,"Python; OOP; SQL; Git; REST API","Develop Python applications, write clean code, work with APIs, and support application deployment.",1-3 years,Bachelor's degree in Computer Science IT or related field
J003,Machine Learning Engineer,AI Labs,Bengaluru,"Python; Machine Learning; Pandas; Scikit-learn; Statistics","Build machine learning models, prepare datasets, evaluate experiments, and improve model performance.",0-2 years,Bachelor's degree in Computer Science AI or related field
J004,Software Developer,InnovateTech,Gurugram,"Programming; OOP; Data Structures; SQL; Git","Design software applications, implement features, fix bugs, and participate in code reviews.",0-2 years,Bachelor's degree in Computer Science IT or related field
J005,Business Analyst,BusinessPro,Mumbai,"Requirements Analysis; Excel; SQL; Power BI; Communication","Gather business requirements, analyze data, prepare reports, and communicate findings to stakeholders.",1-3 years,Bachelor's degree in Business IT or related field
J006,Web Developer,WebCraft,Noida,"HTML; CSS; JavaScript; React; REST API","Develop responsive websites and web applications and collaborate with development teams.",0-2 years,Bachelor's degree or relevant technical education
J007,Database Developer,DataCore,Hyderabad,"SQL; Database Design; MySQL; PostgreSQL; Python","Design and maintain databases, write SQL queries, optimize database performance, and manage data.",1-3 years,Bachelor's degree in Computer Science IT or related field
J008,QA Automation Engineer,QualityTech,Pune,"Testing; Python; Selenium; SQL; Git","Create automated tests, identify software defects, maintain test scripts, and support quality assurance.",0-2 years,Bachelor's degree in Computer Science IT or related field
J009,Data Scientist,DataMind,Bengaluru,"Python; Statistics; Pandas; Machine Learning; SQL","Analyze complex datasets, build predictive models, and communicate analytical findings.",1-3 years,Bachelor's degree in Computer Science Data Science or related field
J010,Backend Developer,CloudApps,Delhi,"Python; REST API; SQL; Git; Programming","Develop backend services, create APIs, work with databases, and support application deployment.",1-3 years,Bachelor's degree in Computer Science IT or related field
J011,Frontend Developer,DigitalWorks,Gurugram,"HTML; CSS; JavaScript; React; Git","Build user interfaces, implement responsive designs, and collaborate with backend developers.",0-2 years,Bachelor's degree or relevant technical education
J012,Junior Software Engineer,TechStart,Noida,"Python; Programming; Git; SQL; OOP","Assist in software development, debugging, testing, and implementation of application features.",0-2 years,Bachelor's degree in Computer Science IT or related field
J013,AI Intern,FutureAI,Bengaluru,"Python; Machine Learning; Pandas; Statistics","Assist with introductory machine learning experiments, data preparation, and AI research activities.",Student / Internship,Currently pursuing Bachelor's degree in Computer Science IT or related field
J014,IT Support Engineer,SupportHub,Delhi,"Python; SQL; Troubleshooting; Git","Provide technical support, troubleshoot applications, and document technical solutions.",0-2 years,Bachelor's degree in Computer Science IT or related field
J015,Data Science Intern,AnalyticsLab,Mumbai,"Python; Pandas; Statistics; SQL","Support data analysis projects, prepare datasets, create visualizations, and assist data science teams.",Student / Internship,Currently pursuing Bachelor's degree in Computer Science Data Science or related field
